Match Date,Result,Team 1,Team 2
August 14 2022,Paris Sunshine won,Pegasus 106/10,Paris Sunshine 171/7
August 14 2022,Masters won,Spartans 174/6,Masters 178/3
August 14 2022,Brampton Gladiators won,Fuzion SC 151/8,Brampton Gladiators 156/7
August 14 2022,Enterprise won,Aces Cricket Club 164/7,Enterprise 167/3
August 14 2022,Wildfiya won,Brampton Rangers 100/8,Wildfiya 171/7
August 14 2022,Smashers won,Guycan Tridents 0/0,Smashers 0/0
August 14 2022,Cool Runningz won,Tricounty 106/8,Cool Runningz 110/4
August 14 2022,Industry CC won,11 Man Army 170/6,Industry CC 172/8
August 14 2022,Phoenix 11 won,Panthers 203/8,Phoenix 11 204/4
August 07 2022,Fuzion SC won,Aces Cricket Club 41/10,Fuzion SC 189/6
August 07 2022,Spartans won,Enterprise 189/7,Spartans 192/5
August 07 2022,Masters won,Paris Sunshine 213/9,Masters 230/5
August 07 2022,Brampton Gladiators won,Pegasus 225/7,Brampton Gladiators 229/7
August 07 2022,Smashers won,Brampton Rangers 144/6,Smashers 218/4
